Date,Value,Min,Max,Variation,Volume,Action,index
2024-01-02,14.83,14.36,14.98,3.49,208988,Addoha,
2024-01-02,1300.00,1275.00,1300.00,0.08,9,Sanlam Maroc,
2024-01-02,67.00,67.00,67.75,-1.11,7733,Auto Hall,
2024-01-02,1333.00,1327.00,1334.00,0.76,25,SMI,
2024-01-02,462.50,460.00,462.50,0.54,23190,Attijariwafa,
2024-01-02,10.96,10.66,11.14,0.55,1054,Stokvis Nord Afr,
2024-01-02,489.50,489.50,499.45,-0.10,17,SNEP,
2024-01-02,125.00,125.00,125.05,-1.57,103,ATLANTASANAD,
2024-01-02,275.00,272.00,276.00,-1.08,10831,SODEP,
2024-01-02,445.00,445.00,445.00,0.00,14430,Aradei Capital,
2024-01-02,668.00,660.00,677.50,1.21,1129,Sonasid,
2024-01-02,991.00,990.00,1000.00,4.21,4247,SOTHEMA,
2024-01-02,117.80,117.80,117.80,-1.67,50,SRM,
2024-01-02,123.50,115.75,124.00,6.93,154715,Alliances,
2024-01-02,2202.00,2202.00,2202.00,-2.44,53,Ste Boissons,
2024-01-02,29.01,29.01,30.86,1.01,13,STROC Indus,
2024-01-02,498.00,495.25,500.00,0.40,1998,Akdital,
2024-01-02,6760.00,6760.00,6760.00,5.96,1,Agma,
2024-01-02,190.00,186.00,192.50,2.15,35171,TGCC,
2024-01-02,4000.00,4000.00,4002.00,0.00,24,Afriquia Gaz,
2024-01-02,1170.00,1170.00,1185.00,0.86,441,Total Maroc,
2024-01-02,4000.00,4000.00,4000.00,0.00,200,Wafa Assur,
2024-01-02,206.95,206.95,212.85,-0.02,560,Risma,
2024-01-02,22.50,21.70,22.90,3.69,30998,Res.Dar Saada,
2024-01-02,180.00,180.00,183.00,0.28,2099,BOA,
2024-01-02,36.00,35.35,36.94,1.41,156,Delta Holding,
2024-01-02,187.00,187.00,190.00,-2.30,237,Disty Technolog,
2024-01-02,195.90,195.15,202.40,0.46,5106,COSUMAR,
2024-01-02,681.50,681.50,682.00,4.85,420,DISWAY,
2024-01-02,31.49,31.00,31.50,1.58,163,Ennakl,
2024-01-02,46.90,46.90,46.90,0.86,31,Colorado,
2024-01-02,993.00,993.00,993.00,0.59,100,EQDOM,
2024-01-02,1195.00,1156.00,1197.00,9.63,1217,CMT,
2024-01-02,96.98,96.98,96.98,2.82,10,FENIE BROSSETTE,
2024-01-02,94.80,94.00,96.77,1.94,1203,Immr Invest,
2024-01-02,1680.00,1679.00,1680.00,0.00,323,Ciments Maroc,
2024-01-02,87.95,87.95,87.95,-0.06,103,INVOLYS,
2024-01-02,1200.00,1200.00,1200.00,0.00,1,AFMA,
2024-01-02,256.00,251.00,256.00,0.39,1010,Jet Contractors,
2024-01-02,4200.00,4100.00,4200.00,0.00,66,LABEL VIE,
2024-01-02,146.00,141.20,146.00,3.18,1273570,CFG Bank,
2024-01-02,1920.00,1920.00,1949.00,0.00,486,LafargeHolcim,
2024-01-02,600.00,600.00,600.00,0.00,1318,Microdata,
2024-01-02,22.01,22.00,22.85,0.05,505,Cartier Saada,
2024-01-02,248.00,248.00,251.00,-0.80,1611,Mutandis,
2024-01-02,548.80,548.80,548.80,1.63,1,BMCI,
2024-01-02,276.95,275.00,276.95,0.71,7693,BCP,
2024-01-02,350.00,341.50,351.00,-0.44,1743,CIH,
2024-01-02,74.00,74.00,74.00,5.41,1,Zellidja,
2024-01-03,449.00,445.00,449.00,0.90,1049,Aradei Capital,
2024-01-03,3965.00,3965.00,3965.00,-0.88,800,Afriquia Gaz,
2024-01-03,672.00,655.00,674.80,0.60,755,Sonasid,
2024-01-03,325.00,315.15,332.00,-2.97,330,Afric Indus,
2024-01-03,1290.00,1290.00,1305.00,-0.77,3249,Sanlam Maroc,
2024-01-03,130.00,126.10,130.85,5.26,238964,Alliances,
2024-01-03,275.00,274.50,276.95,-0.70,44584,BCP,
2024-01-03,600.00,600.00,600.00,0.00,2,Microdata,
2024-01-03,254.00,247.00,254.00,2.42,17080,Mutandis,
2024-01-03,1135.00,1082.00,1135.00,3.18,126770,TAQA Morocco,
2024-01-03,180.00,178.05,180.00,0.00,6446,BOA,
2024-01-03,188.30,186.50,190.00,-0.89,21173,TGCC,
2024-01-03,487.00,477.20,490.00,-0.51,31,SNEP,
2024-01-03,31.65,31.00,31.65,0.51,39297,Ennakl,
2024-01-03,6900.00,6900.00,6900.00,2.07,2,Agma,
2024-01-03,36.90,35.40,36.90,2.50,5341,Delta Holding,
2024-01-03,15.15,14.94,15.15,2.16,440524,Addoha,
2024-01-03,1175.00,1170.00,1207.00,0.43,3342,Total Maroc,
2024-01-03,1681.00,1665.00,1681.00,0.06,202,Ciments Maroc,
2024-01-03,87.95,87.95,87.95,0.00,103,INVOLYS,
2024-01-03,22.48,22.40,22.95,-0.09,15401,Res.Dar Saada,
2024-01-03,11.08,10.67,11.10,1.09,22,Stokvis Nord Afr,
2024-01-03,95.50,95.00,96.50,0.74,41,Immr Invest,
2024-01-03,1200.00,1200.00,1200.00,0.00,1,AFMA,
2024-01-03,22.00,22.00,22.79,-0.05,1252,Cartier Saada,
2024-01-03,270.00,270.00,270.05,0.00,100,Lesieur Cristal,
2024-01-03,544.00,544.00,544.00,4.62,500,SALAFIN,
2024-01-03,572.00,572.00,572.00,0.33,1550,CTM,
2024-01-03,3200.00,3200.00,3200.00,0.00,3980,Dari Couspate,
2024-01-03,1950.00,1940.00,1950.00,1.56,1238,LafargeHolcim,
2024-01-03,557.90,533.00,557.90,1.66,403,BMCI,
2024-01-03,148.05,144.55,148.45,1.40,276798,CFG Bank,
2024-01-03,1200.00,1200.00,1270.00,0.42,17651,CMT,
2024-01-03,204.00,195.00,207.00,-1.43,14038,Risma,
2024-01-03,96.98,96.98,96.98,0.00,10,FENIE BROSSETTE,
2024-01-03,29.50,29.50,29.50,1.69,400,STROC Indus,
2024-01-03,993.00,993.00,993.00,0.20,1000,SOTHEMA,
2024-01-03,190.00,187.10,190.00,1.60,167,Disty Technolog,
2024-01-03,4000.00,4000.00,4000.00,0.00,43,Wafa Assur,
2024-01-03,1369.00,1332.00,1369.00,2.70,693,SMI,
2024-01-03,125.00,125.00,125.00,0.00,43,ATLANTASANAD,
2024-01-03,279.80,273.00,279.80,1.75,8272,SODEP,
2024-01-03,465.20,460.15,465.20,0.58,24371,Attijariwafa,
2024-01-03,66.93,66.93,67.75,-0.10,2350,Auto Hall,
2024-01-03,200.00,195.90,200.00,2.09,8032,COSUMAR,
2024-01-03,255.50,250.00,255.50,-0.20,344,Jet Contractors,
2024-01-03,682.00,661.10,682.00,0.07,4525,DISWAY,
2024-01-03,46.76,46.50,46.76,-0.30,210,Colorado,
2024-01-03,496.10,495.00,499.80,-0.38,6083,Akdital,
2024-01-03,347.50,347.50,350.00,-0.71,6693,CIH,
2024-01-03,2333.00,2333.00,2333.00,5.95,50,Ste Boissons,
2024-01-03,990.00,990.00,990.00,-0.30,1131,EQDOM,
2024-01-03,76.90,76.90,76.90,3.92,100,Zellidja,
2024-01-03,4200.00,4200.00,4200.00,0.00,1197,LABEL VIE,
2024-01-03,117.80,117.80,117.80,0.00,50,SRM,
2024-01-04,126.95,123.70,126.95,1.56,100,ATLANTASANAD,
2024-01-04,682.00,661.10,682.00,0.00,4525,DISWAY,
2024-01-04,1415.00,1330.00,1420.00,3.36,1035,SMI,
2024-01-04,670.00,670.00,672.00,-0.30,661,Sonasid,
2024-01-04,985.00,985.00,985.00,-1.50,170,PROMOPHARM,
2024-01-04,200.00,195.00,205.90,-1.96,19551,Risma,
2024-01-04,95.12,95.10,95.99,-0.40,124,Immr Invest,
2024-01-04,22.00,22.00,22.01,0.00,362,Cartier Saada,
2024-01-04,467.60,463.70,467.60,0.52,14385,Attijariwafa,
2024-01-04,3980.00,3980.00,4000.00,0.38,11,Afriquia Gaz,
2024-01-04,1359.00,1311.00,1359.00,-0.73,5040,Aluminium Maroc,
2024-01-04,1168.00,1134.00,1168.00,2.91,11660,TAQA Morocco,
2024-01-04,1000.00,1000.00,1000.00,1.01,3000,EQDOM,
2024-01-04,1200.00,1200.00,1200.00,0.00,4,AFMA,
2024-01-04,187.10,187.10,187.15,-1.53,70,Disty Technolog,
2024-01-04,3200.00,3200.00,3200.00,0.00,3980,Dari Couspate,
2024-01-04,1969.00,1931.00,1970.00,0.97,6810,LafargeHolcim,
2024-01-04,270.00,270.00,270.00,0.00,1100,Lesieur Cristal,
2024-01-04,544.00,544.00,544.00,0.00,500,SALAFIN,
2024-01-04,4200.00,4200.00,4201.00,0.00,391,LABEL VIE,
2024-01-04,560.00,557.00,560.00,0.38,2015,BMCI,
2024-01-04,350.00,349.00,350.00,0.72,1106,CIH,
2024-01-04,149.50,148.10,149.50,0.98,126960,CFG Bank,
2024-01-04,196.35,196.35,200.95,-1.83,18390,COSUMAR,
2024-01-04,78.95,78.95,78.95,2.67,11,Zellidja,
2024-01-04,180.00,180.00,180.00,0.00,2450,S2M,
2024-01-04,1198.00,1198.00,1264.00,-0.17,2901,CMT,
2024-01-04,46.70,45.51,47.00,-0.13,705,Colorado,
2024-01-04,96.89,96.89,96.89,-0.09,2,FENIE BROSSETTE,
2024-01-04,275.50,275.00,278.00,-1.54,7654,SODEP,
2024-01-04,30.85,30.85,30.85,4.58,3,STROC Indus,
2024-01-04,987.00,987.00,996.00,-0.60,40,SOTHEMA,
2024-01-04,498.00,495.00,499.50,0.38,2257,Akdital,
2024-01-04,325.00,325.00,331.00,0.00,160,Afric Indus,
2024-01-04,4000.00,4000.00,4000.00,0.00,40,Wafa Assur,
2024-01-04,15.10,14.90,15.39,-0.33,672872,Addoha,
2024-01-04,1300.00,1300.00,1300.00,0.78,2,Sanlam Maroc,
2024-01-04,572.00,572.00,572.00,0.00,1550,CTM,
2024-01-04,188.00,187.05,189.80,-0.16,19499,TGCC,
2024-01-04,489.00,478.20,489.00,0.41,168,SNEP,
2024-01-04,445.00,436.60,449.95,-0.89,15077,Aradei Capital,
2024-01-04,180.00,180.00,181.90,0.00,627,BOA,
2024-01-04,117.80,117.80,117.80,0.00,50,SRM,
2024-01-04,255.00,254.00,256.95,-0.20,2255,Jet Contractors,
2024-01-04,254.00,252.00,254.00,0.00,6775,Mutandis,
2024-01-04,22.55,22.50,22.86,0.31,14335,Res.Dar Saada,
2024-01-04,6999.00,6999.00,6999.00,1.43,1,Agma,
2024-01-04,2335.00,2335.00,2335.00,0.09,1,Ste Boissons,
2024-01-04,36.36,36.36,36.36,-1.46,10,Delta Holding,
2024-01-04,67.01,67.01,67.90,0.12,3258,Auto Hall,
2024-01-04,1175.00,1175.00,1175.00,0.00,50,Total Maroc,
2024-01-04,608.00,583.00,608.00,1.33,130,Microdata,
2024-01-04,31.64,31.64,31.64,-0.03,49,Ennakl,
2024-01-04,10.67,10.67,10.69,-3.70,1169,Stokvis Nord Afr,
2024-01-04,1677.00,1673.00,1707.00,-0.24,49,Ciments Maroc,
2024-01-04,87.50,87.50,87.50,-0.51,35,INVOLYS,
2024-01-04,276.00,275.00,276.00,0.36,25820,BCP,
2024-01-04,139.25,130.15,140.00,7.12,258014,Alliances,
2024-01-05,1180.00,1166.00,1180.00,0.43,575,Total Maroc,
2024-01-05,511.40,511.40,511.40,-5.99,50,SALAFIN,
2024-01-05,7000.00,7000.00,7000.00,0.01,2,Agma,
2024-01-05,270.00,270.00,270.00,0.00,1100,Lesieur Cristal,
2024-01-05,3200.00,3200.00,3200.00,0.00,3980,Dari Couspate,
2024-01-05,29.50,29.50,30.84,-4.38,364,STROC Indus,
2024-01-05,487.50,476.50,487.50,-0.31,314,SNEP,
2024-01-05,87.11,87.11,87.11,-0.45,25,INVOLYS,
2024-01-05,197.00,196.50,201.90,0.33,9309,COSUMAR,
2024-01-05,275.50,272.00,280.00,0.00,13478,SODEP,
2024-01-05,1701.00,1674.00,1710.00,1.43,2746,Ciments Maroc,
2024-01-05,570.00,550.00,570.00,1.79,783,BMCI,
2024-01-05,15.75,14.96,15.85,4.30,1022095,Addoha,
2024-01-05,257.00,250.00,258.00,1.18,6387,Mutandis,
2024-01-05,36.95,35.50,36.95,1.62,115,Delta Holding,
2024-01-05,1150.00,1150.00,1216.00,-4.01,1686,CMT,
2024-01-05,22.60,22.60,22.65,2.73,55,Cartier Saada,
2024-01-05,181.00,181.00,181.00,0.56,210,S2M,
2024-01-05,117.80,117.80,117.80,0.00,50,SRM,
2024-01-05,11.00,10.69,11.00,3.09,3540,Stokvis Nord Afr,
2024-01-05,156.25,149.15,156.25,4.52,197450,CFG Bank,
2024-01-05,67.00,66.90,67.87,-0.01,2270,Auto Hall,
2024-01-05,347.50,347.50,350.00,-0.71,683,CIH,
2024-01-05,990.00,990.00,993.50,0.30,178,SOTHEMA,
2024-01-05,46.50,45.52,46.80,-0.43,40,Colorado,
2024-01-05,95.98,92.00,96.90,-0.94,655,FENIE BROSSETTE,
2024-01-05,625.00,608.00,625.00,2.80,14648,Microdata,
2024-01-05,95.00,95.00,95.90,-0.13,3567,Immr Invest,
2024-01-05,1335.00,1335.00,1335.00,-1.77,90,Aluminium Maroc,
2024-01-05,669.00,660.10,677.00,-0.15,1800,Sonasid,
2024-01-05,3999.00,3999.00,4178.00,0.48,134,Afriquia Gaz,
2024-01-05,572.00,572.00,572.00,0.00,1550,CTM,
2024-01-05,279.95,275.05,279.95,1.43,29925,BCP,
